ID,Theme,Citation Key,Authors,Year,Title,Outlet / Status,Document / Data,Method,Outcome / Task,Key Finding,Overlap with Disclosure Drift,Novelty Threat,Planned Use,Source URL,Verification,Last Checked
DRIFT-01,Direct temporal-drift competitor,harrington2026continual,"Harrington, Saxena, Murphy, Borovykh, Yun, Kamath, Kyi, Darrell, Malik, and Bai",2026,When Does Continual Learning Require Learning,arXiv preprint,"Full-length SEC 10-K filings, filing years 2015–2020","Sequential LLM training and evaluation across filing years; compares prompt, fine-tuning, RL, and context-compression approaches",Direction of issuer 30-day forward stock return after the 10-K filing,Some update methods retain forward accuracy better than others; prompt-based approaches can overfit transient textual heuristics.,"Directly studies temporal drift in a 10-K predictive task. It does not study the GenAI-era cutoff, one-year operating outcomes, calibration, controlled rewrites, or evidence-grounded defenses.",High,"Highest-priority competitor; explicitly distinguish our target, period, model families, calibration analysis, and rewrite experiment.",https://arxiv.org/abs/2607.07847,Primary source reviewed,2026-07-25
GENAI-01,GenAI and corporate reporting,blankespoor2026genai,"Blankespoor, deHaan, and Li",2026,Generative AI in Financial Reporting,"Journal of Accounting Research, 64(3), 1189–1232","Corporate disclosures including risk factors, MD&A, earnings materials, and other reporting settings",AI-writing detection validation and empirical disclosure analysis,Prevalence and characteristics of possible GenAI-assisted financial reporting,Documents the emergence and characteristics of possible GenAI-assisted disclosure writing.,Establishes that AI-assisted financial reporting and disclosure-language change are already active research areas.,High,Primary motivation and boundary: we do not claim to be first to study GenAI in reporting or to possess definitive authorship labels.,https://doi.org/10.1111/1475-679x.70050,Journal page reviewed,2026-07-25
DRIFT-02,Financial semantic drift,sun2025semantic,"Sun, Xiao, Harit, and Yu",2025,Quantifying Semantic Shift in Financial NLP: Robust Metrics for Market Prediction Stability,ACM ICAIF 2025 / arXiv,"Financial news across pre-COVID, COVID, post-COVID, and rate-hike regimes","LSTM and Transformer prediction with semantic-volatility, perturbation, causal-attribution, and logical-consistency diagnostics",Next-day market prediction stability across regimes,Semantic volatility and distribution divergence are associated with prediction error; model robustness varies across regimes.,"Directly addresses financial-NLP semantic drift, but not SEC filings, GenAI-era disclosure change, operating outcomes, or paired rewrites.",High,Use as the closest semantic-drift framework and compare its metrics with our filing-specific drift measures.,https://arxiv.org/abs/2510.00205,Primary source reviewed,2026-07-25
GENAI-02,AI-likeness in 10-Ks,perlin2026ai10k,"Perlin, Foguesatto, Karagrigoriou Galanos, and Affonso",2026,The Use of AI in 10-K Filings: An Empirical Analysis of S&P 500 Reports,SSRN working paper,"Three sections of S&P 500 10-K reports, 2018–2024",AI-content detector plus FinBERT sentiment analysis,Estimated AI-generated-content probability and sentiment,Reports section-level patterns in AI-likeness and an association between detector scores and sentiment.,"Very close on 10-K AI-era language measurement, but not on out-of-time predictive decay or robust alternatives.",High,Benchmark detector-based measures while emphasizing their proxy status and limited sample universe.,https://ssrn.com/abstract=6108946,Primary source reviewed,2026-07-25
GENAI-03,GenAI disclosure experiment,plate2024investor,"Plate, Voshaar, and Zimmermann",2024,Investor Reactions to Generative AI Usage in MD&A Disclosures,SSRN working paper,Experimental MD&A disclosures,Investor experiment using GenAI-created or modified MD&A,Investor judgments and reactions,Tests how disclosure authorship or modification by GenAI affects investor processing and reactions.,Close on AI-modified MD&A but focuses on investor reactions rather than predictive-model reliability.,Medium-High,Supports rewrite-treatment design and disclosure-authorship framing.,https://ssrn.com/abstract=5068116,Primary source abstract reviewed,2026-07-25
GENAI-04,AI-generated corporate disclosure,chenwang2026more,Chen and Wang,2026,More Than Human: The Capital-Market Effects of AI-Generated Corporate Disclosure,SSRN working paper,"Earnings-call presentations, 2015–2024",AI-content detection and capital-market analysis,"Market response, spreads, analyst forecast errors, and information quality",Reports increasing AI-written content and associations with disclosure characteristics and capital-market outcomes.,"Establishes broad capital-market consequences of AI-assisted disclosure, but not 10-K model decay or paired rewrite robustness.",Medium-High,Position our project around reliability rather than adoption or average market effects.,https://ssrn.com/abstract=5959496,Primary source reviewed,2026-07-25
REWRITE-01,Controlled narrative intervention,matera2025earnings,Matera,2025,Corporate Earnings Calls and Analyst Beliefs,arXiv preprint,Corporate earnings-call narratives,LLM-generated counterfactual transcripts that vary narrative emphasis while holding quantitative content fixed,Realized earnings and analyst expectations,Narrative emphasis affects predictions and analyst belief formation even when quantitative content is held fixed.,A close methodological precedent for controlled fact-preserving text transformations.,High for rewrite novelty; Low for full project,Cite as the nearest counterfactual-narrative design and differentiate our paired filing robustness test.,https://arxiv.org/abs/2511.15214,Primary source reviewed,2026-07-25
GENAI-05,LLM disclosure summarization,kim2023bloated,"Kim, Muhn, and Nikolaev",2023,Bloated Disclosures: Can ChatGPT Help Investors Process Information?,Working paper / arXiv,Corporate disclosures and ChatGPT summaries,LLM summarization and capital-market validation,"Information content, sentiment, market reaction, and disclosure bloat",LLM summaries can compress disclosure text while retaining or amplifying economically relevant content.,Shows LLM transformations can alter textual measures and investor-relevant information.,Medium,Motivate strict factual-preservation and information-retention tests for controlled rewrites.,https://arxiv.org/abs/2306.10224,Primary source reviewed,2026-07-25
DRIFT-03,Temporal shift in financial sentiment,guo2023future,"Guo, Hu, and Yang",2023,Predict the Future from the Past? On the Temporal Data Distribution Shift in Financial Sentiment Classifications,arXiv preprint,Time-indexed financial social-media sentiment data,Out-of-time financial sentiment classification,Sentiment-classification stability under temporal shift,Financial sentiment models can deteriorate when evaluated on later time periods.,"Direct precedent for temporal degradation in financial NLP, but not SEC filings or future operating outcomes.",Medium-High,Core temporal-validation precedent.,https://arxiv.org/abs/2310.12620,Primary source reviewed,2026-07-25
BASE-01,Disclosure readability,li2008readability,Li,2008,"Annual Report Readability, Current Earnings, and Earnings Persistence",Journal of Accounting and Economics,Corporate annual reports,Readability measures and accounting-outcome regressions,Earnings level and persistence,Annual-report readability is associated with firm performance and earnings persistence.,Foundational style-dependent baseline that may be vulnerable to writing-style change.,Low,Traditional readability baseline and literature replication target.,https://doi.org/10.1016/j.jacceco.2008.02.003,Journal metadata reviewed,2026-07-25
