Audit ID,Study,Year / Status,Verification Level,Sample / Period,Document Scope,Prediction or Analysis Target,Horizon,Method / Models,Temporal Evaluation,Primary Metrics,Calibration Reported,Controlled Rewrite Test,Evidence Grounding,Direct Overlap,Defensible Distinction,Final Novelty Assessment,Source URL,Last Checked
DC-01,Harrington et al. — When Does Continual Learning Require Learning,"2026, arXiv",Full primary paper reviewed,Six phases for filing years 2015–2020; approximately 500 training filings and 50 held-out filings per year,"Full SEC Form 10-K filings, typically 10,000–13,000 tokens",Direction of the issuer’s 30-day forward simple stock return,30 days after filing,"Sequential LLM updating via prompting, fine-tuning, reinforcement learning, and context compression/distillation",Sequential past-year and future-year evaluation across six filing-year phases,Classification accuracy across temporal phases,No,No,No source-linked economic evidence model,Direct temporal-drift benchmark using full 10-K text,"Disclosure Drift studies the pre-/post-2022 GenAI era, one-year operating outcomes, calibration, style versus evidence model families, and paired rewrites.",Precludes first temporal 10-K prediction-drift claim; does not duplicate combined project.,https://arxiv.org/abs/2607.07847,2026-07-25
DC-02,Zhang et al. — Bankruptcy Prediction from 10-K Narratives,"2026, arXiv",Full primary paper reviewed,"40,475 firm-year 10-K observations; 10,778 firms; 128 bankruptcies; fiscal years 2010–2021","Items 1, 1A, and 7",Bankruptcy within 365 days after filing,One year,Financial logistic baseline plus interpretable PB Stress Score; Loughran–McDonald benchmark,Fixed holdout plus year-based out-of-time evaluation,"ROC AUC, Somers’ D, KS; PR AUC and top-decile capture as secondary",No predictive calibration slope/intercept,No,Transparent dictionary score but not source-linked claim evidence,"Very close on one-year adverse outcome, accounting baseline, interpretable text, and out-of-time testing","Continuous industry-adjusted operating-margin change, 2024 GenAI-era reliability, calibration decay, DDI, and rewrite robustness.",Precludes first one-year adverse-outcome prediction from 10-K narrative claim.,https://arxiv.org/abs/2606.05623,2026-07-25
DC-03,Sun et al. — Quantifying Semantic Shift in Financial NLP,"2025, ACM ICAIF / arXiv",Full primary paper reviewed,"Financial news for 110 S&P 500 companies across 11 GICS sectors, 2018–2023; four economic-regime windows",Financial news,Next-day stock-return regression and semantic stability,Next trading day,"LSTM, DistilBERT, and feature transformer; FCAS, PCS, TSV, and NLICS drift diagnostics",Chronological 60/20/20 splits within stocks and regime comparisons,Mean squared error plus semantic-drift diagnostics,No,"Perturbation diagnostics, not a filing rewrite experiment",No filing-fact grounding,Direct methodological precedent for financial semantic-drift measurement,"SEC filing text, one-year company fundamentals, accuracy and calibration, GenAI-era split, and paired factual rewrites.",Precludes first financial semantic-drift framework claim.,https://arxiv.org/abs/2510.00205,2026-07-25
DC-04,Matera — Corporate Earnings Calls and Analyst Beliefs,"2025, arXiv",Full primary paper reviewed,"35,203 annual earnings calls; 5,370 companies; 2008–2023",Management prepared remarks from annual earnings calls,Analyst belief changes and realized earnings changes,One to three years,"Accounting/stock features, text embeddings, combined models, and LLM counterfactual narrative morphing",Out-of-sample prediction with pretraining/look-ahead controls,Out-of-sample R-squared and forecast-comparison tests,No,Yes; counterfactual narratives with quantitative content held fixed,Quantitative content preservation but not a source-linked filing evidence model,Closest precedent for controlled financial-narrative transformation,"10-K sections, frozen model-score robustness, stricter factual-preservation gates, operating outcome, and temporal calibration.",Precludes first fact-preserving financial narrative rewrite claim.,https://arxiv.org/abs/2511.15214,2026-07-25
DC-05,"Blankespoor, deHaan, and Li — Generative AI in Financial Reporting","2026, Journal of Accounting Research",Full published paper reviewed,U.S. disclosures from 2010–2024; report counts vary by disclosure; linguistic tests contain hundreds of thousands of sentence-level observations,"10-Q/K risk factors and MD&A, prepared call remarks, earnings releases, and IPO filings",Estimated GenAI usage and associated linguistic properties,Contemporaneous descriptive analysis through 2024,Validated GPTZero GenScore with synthetic replacement tests and fixed-effects regressions,Pre-/post-ChatGPT trend and cross-sectional analysis,"GenScore shifts and regression coefficients for length, readability, tone, and specificity","Detector validation, not predictive outcome calibration","Synthetic replacement used to validate detector sensitivity, not model prediction robustness",No,Definitive neighboring study for GenAI-era disclosure language and detector validity,Disclosure Drift does not infer authorship; it evaluates downstream predictive reliability and evidence-grounded defenses.,Precludes first GenAI-in-financial-reporting or disclosure-language-change claim.,https://doi.org/10.1111/1475-679x.70050,2026-07-25
DC-06,Perlin et al. — The Use of AI in 10-K Filings,"2026, Finance Research Letters",Final publication metadata and accessible manuscript reviewed; version discrepancy documented,"Accessible manuscript: 3,939 firm-year observations, 570 companies, 2018–2024; final abstract describes a Russell 1000 sample","Business Description, Risk Factors, and MD&A",AI-content probability and financial sentiment,Contemporaneous filing analysis,"Commercial AI detector, FinBERT sentiment, and panel regressions",Longitudinal filing-year comparison,"Detector probability, sentiment, and panel coefficients",No predictive outcome calibration,No,No,Direct 10-K AI-likeness and sentiment study,Large point-in-time operating-company universe and reliability outcomes rather than AI detection or sentiment alone.,Precludes novelty for AI-likeness detection in 10-K sections; final journal version must be cited because sample descriptions changed.,https://doi.org/10.1016/j.frl.2026.110161,2026-07-25
DC-07,"Plate, Voshaar, and Zimmermann — Investor Reactions to Generative AI Usage in MD&A Disclosures","2025, SSRN working paper",Primary SSRN abstract and author page reviewed,"6,977 firm-year observations, filing years 2021–2023",10-K MD&A,Signed and absolute cumulative abnormal returns; readability and tone mediation,Short-term market reaction around filing,"AI-usage proxy, event-study outcomes, and causal mediation analysis","2021–2023 panel, not a pre-trained out-of-time reliability test",Cumulative abnormal returns and mediation effects,No,No paired model-robustness rewrite benchmark,No,Close on GenAI-associated MD&A changes and downstream effects,"Predictive model decay, operating outcomes, calibration, and frozen paired rewrites.",Precludes first capital-market study of GenAI usage in MD&A.,https://ssrn.com/abstract=5068116,2026-07-25
DC-08,"Gupta, Rawte, and Zaki — Predicting Firm Financial Performance from SEC Filing Changes","2024, Computational Economics",Publisher abstract and author-hosted metadata reviewed,U.S. bank application; exact final analytic count not stated in the public abstract,Changes in consecutive 10-K filings and content from 8-K filings,Six future financial-performance indicators,Future financial performance,Automatically generated dictionary using NLP/deep learning with ridge regression; Loughran–McDonald comparison,Predictive tests; exact split details require subscription/full-text recheck,Predictive performance across six indicators,No indication,No,Automatically learned language but not source-linked evidence,"Direct on filing changes, adaptive dictionaries, and future financial performance","Broad operating-company universe, frozen pre-/post-2022 decay, calibration, DDI, and rewrites.",Precludes first adaptive filing-change dictionary or future-performance prediction claim.,https://doi.org/10.1007/s10614-023-10443-x,2026-07-25
DC-09,Grundy and Petry — Constructing Financing and Operating Risk Measures from 10-K Text,2025 SSRN version; working-paper lineage reviewed,Latest primary abstract plus prior full working-paper version reviewed,"Item 1A filings, approximately 2005–2015 in the full working-paper lineage",Item 1A risk-factor sentences,"Operating and financing risk; future quarterly operating income, net income, and sales",One to four future quarters,LDA-derived risk factors aggregated into operating and financing indices; fixed-effects regressions,"Panel prediction, not a locked out-of-time model-decay design",Regression coefficients and economic associations,No,No,Interpretable risk categories but not claim-to-source predictive lineage,Directly occupies operating-risk and future-operating-performance extraction from Item 1A,"One-year industry-adjusted margin change, GenAI-era temporal reliability, calibration, and rewrite robustness.",Precludes first operating-risk measure or operating-performance prediction from 10-K text claim.,https://ssrn.com/abstract=5949674,2026-07-25
DC-10,Lin — Auditing Predictive Information in SEC 10-K Text,"2026, SSRN pilot working paper",Primary SSRN metadata and indexed PDF snippets reviewed; direct PDF retrieval was restricted,50 U.S. large-cap firms; indexed snippets indicate event years 2016–2025,SEC Form 10-K text,Filing-event predictive information tied to following trading windows,Post-filing market windows,Rolling out-of-sample audit with four split definitions; exact estimator inventory remains to be rechecked,Rolling out-of-sample design,Exact metric table pending accessible full-text recheck,Not established from accessible primary metadata,No evidence in accessible metadata,No evidence of source-linked operating-fact defense,Very close framing around predictive-information auditing and out-of-sample 10-K tests,"Small large-cap pilot focused on market windows rather than one-year operating outcomes, calibration, GenAI-era decay, and rewrites.","Precludes first predictive audit of 10-K text claim; mandatory full-text recheck before publication, but available evidence rules out direct duplication.",https://ssrn.com/abstract=6974978,2026-07-25
